Hawker Centre,Stall No,Approx. Stall Area (sqm),Trade,Tendered Bid (per month),Month of Tender
BLK 347 JURONG EAST AVENUE 1,01-72,8.62,PIECE & SUNDRY GOODS,502,May-2022
BLK 347 JURONG EAST AVENUE 1,01-72,8.62,PIECE & SUNDRY GOODS,400,Sep-2022
BLK 347 JURONG EAST AVENUE 1,01-83,8.83,PIECE & SUNDRY GOODS,753.99,Jan-2020
BLK 347 JURONG EAST AVENUE 1,01-84,8.83,PIECE & SUNDRY GOODS,700,May-2019
BLK 347 JURONG EAST AVENUE 1,01-07,8.83,PIECE & SUNDRY GOODS,1239,Apr-2018
BLK 347 JURONG EAST AVENUE 1,01-07,8.83,PIECE & SUNDRY GOODS,628,Jul-2019
BLK 347 JURONG EAST AVENUE 1,01-10,8.83,PIECE & SUNDRY GOODS,1299.99,Mar-2023
BLK 347 JURONG EAST AVENUE 1,01-10,8.83,PIECE & SUNDRY GOODS,1500,Jul-2022
BLK 347 JURONG EAST AVENUE 1,01-65,8.62,PIECE & SUNDRY GOODS,1100,Feb-2022
BLK 347 JURONG EAST AVENUE 1,01-91,12.66,PRESERVED & DRIED GOODS,598,Dec-2021
BLK 353 CLEMENTI AVENUE 2,01-38,8.68,PRESERVED & DRIED GOODS,320,Aug-2024
BLK 353 CLEMENTI AVENUE 2,01-41,8.68,PRESERVED & DRIED GOODS,91,Jul-2020
BLK 353 CLEMENTI AVENUE 2,01-43,8.68,PIECE & SUNDRY GOODS,189,Aug-2019
BLK 353 CLEMENTI AVENUE 2,01-44,8.68,PIECE & SUNDRY GOODS,520,Dec-2021
BLK 353 CLEMENTI AVENUE 2,01-44,8.68,PIECE & SUNDRY GOODS,208,Dec-2022
BLK 353 CLEMENTI AVENUE 2,01-44,8.68,PIECE & SUNDRY GOODS,144,Apr-2024
BLK 353 CLEMENTI AVENUE 2,01-49,8.68,PIECE & SUNDRY GOODS,560,Nov-2018
BLK 353 CLEMENTI AVENUE 2,01-51,8.68,PIECE & SUNDRY GOODS,380,Nov-2018
BLK 353 CLEMENTI AVENUE 2,01-53,8.68,PIECE & SUNDRY GOODS,186,Jan-2020
BLK 353 CLEMENTI AVENUE 2,01-53,8.68,PIECE & SUNDRY GOODS,200,Jul-2023
BLK 353 CLEMENTI AVENUE 2,01-54,8.68,PIECE & SUNDRY GOODS,30,Jun-2019
BLK 353 CLEMENTI AVENUE 2,01-55,8.68,PIECE & SUNDRY GOODS,650,May-2018
BLK 353 CLEMENTI AVENUE 2,01-55,8.68,PIECE & SUNDRY GOODS,588,Jul-2020
BLK 353 CLEMENTI AVENUE 2,01-56,8.68,PIECE & SUNDRY GOODS,422,Jun-2019
BLK 353 CLEMENTI AVENUE 2,01-59,8.68,PIECE & SUNDRY GOODS,508,Dec-2023
BLK 353 CLEMENTI AVENUE 2,01-41,8.68,PRESERVED & DRIED GOODS,150,Jan-2021
BLK 353 CLEMENTI AVENUE 2,01-41,8.68,PRESERVED & DRIED GOODS,201,Dec-2023
BLK 353 CLEMENTI AVENUE 2,01-55,8.68,PIECE & SUNDRY GOODS,930,Jul-2021
BLK 36 TELOK BLANGAH RISE,01-24,9.16,PRESERVED & DRIED GOODS,69,Apr-2023
BLK 36 TELOK BLANGAH RISE,01-26,9.16,PIECE & SUNDRY GOODS,450,Aug-2023
BLK 36 TELOK BLANGAH RISE,01-27,9.16,PIECE & SUNDRY GOODS,160,Jul-2019
BLK 36 TELOK BLANGAH RISE,01-28,9.16,PIECE & SUNDRY GOODS,128,May-2019
BLK 36 TELOK BLANGAH RISE,01-28,9.16,PIECE & SUNDRY GOODS,176.5,Dec-2021
BLK 36 TELOK BLANGAH RISE,01-28,9.16,PIECE & SUNDRY GOODS,169.9,Aug-2023
BLK 36 TELOK BLANGAH RISE,01-29,9.16,PIECE & SUNDRY GOODS,207,Nov-2020
BLK 36 TELOK BLANGAH RISE,01-21,9.16,PRESERVED & DRIED GOODS,222,May-2021
BLK 36 TELOK BLANGAH RISE,01-21,9.16,PRESERVED & DRIED GOODS,50,Sep-2023
BLK 36 TELOK BLANGAH RISE,01-22,9.16,PRESERVED & DRIED GOODS,222,May-2021
BLK 36 TELOK BLANGAH RISE,01-22,9.16,PRESERVED & DRIED GOODS,138,Sep-2023
BLK 37A TEBAN GARDENS ROAD,01-32,10.22,PRESERVED & DRIED GOODS,900,Feb-2020
BLK 409 ANG MO KIO AVENUE 10,01-42,9.1,PIECE & SUNDRY GOODS,1158,Oct-2024
BLK 409 ANG MO KIO AVENUE 10,01-47,9.1,PIECE & SUNDRY GOODS,1433,Jun-2019
BLK 409 ANG MO KIO AVENUE 10,01-50,9.1,PIECE & SUNDRY GOODS,900,May-2024
BLK 409 ANG MO KIO AVENUE 10,01-53,9.1,PIECE & SUNDRY GOODS,535,Jan-2024
BLK 409 ANG MO KIO AVENUE 10,01-57,9.1,PIECE & SUNDRY GOODS,800,Jun-2018
BLK 409 ANG MO KIO AVENUE 10,01-57,9.1,PIECE & SUNDRY GOODS,924,Apr-2022
BLK 409 ANG MO KIO AVENUE 10,01-58,9.1,PIECE & SUNDRY GOODS,1000,Mar-2023
BLK 409 ANG MO KIO AVENUE 10,01-58,9.1,PIECE & SUNDRY GOODS,1358,Nov-2024
BLK 409 ANG MO KIO AVENUE 10,01-42,9.1,PIECE & SUNDRY GOODS,1399,Dec-2021
BLK 409 ANG MO KIO AVENUE 10,01-47,9.1,PIECE & SUNDRY GOODS,1438,Mar-2021
BLK 409 ANG MO KIO AVENUE 10,01-47,9.1,PIECE & SUNDRY GOODS,1328,Oct-2021
BLK 409 ANG MO KIO AVENUE 10,01-53,9.1,PIECE & SUNDRY GOODS,560,Oct-2022
BLK 409 ANG MO KIO AVENUE 10,01-57,9.1,PIECE & SUNDRY GOODS,700,Dec-2020
BLK 409 ANG MO KIO AVENUE 10,01-57,9.1,PIECE & SUNDRY GOODS,900,Apr-2021
BLK 44 HOLLAND DRIVE,01-14,17.9,PIECE & SUNDRY GOODS,537,Sep-2020
BLK 44 HOLLAND DRIVE,01-17,15.2,PRESERVED & DRIED GOODS,613,Aug-2020
BLK 44 HOLLAND DRIVE,01-17,15.2,PRESERVED & DRIED GOODS,238,Oct-2022
BLK 44 HOLLAND DRIVE,01-17,15.2,PRESERVED & DRIED GOODS,100,Jan-2024
BLK 44 HOLLAND DRIVE,01-06,18.4,PIECE & SUNDRY GOODS,688,Mar-2020
BLK 44 HOLLAND DRIVE,01-09,16.4,PIECE & SUNDRY GOODS,1590,Sep-2020
BLK 44 HOLLAND DRIVE,01-10,16.4,PIECE & SUNDRY GOODS,1350,Sep-2020
BLK 44 HOLLAND DRIVE,01-12,19.4,PIECE & SUNDRY GOODS,1388,Oct-2023
BLK 44 HOLLAND DRIVE,01-12,19.4,PIECE & SUNDRY GOODS,601.99,Sep-2024
BLK 44 HOLLAND DRIVE,01-16,15,PRESERVED & DRIED GOODS,600,May-2023
BLK 44 HOLLAND DRIVE,01-19,13.5,PIECE & SUNDRY GOODS,538,Nov-2022
BLK 453A ANG MO KIO AVENUE 10,01-46,7.38,PIECE & SUNDRY GOODS,100,Sep-2022
BLK 453A ANG MO KIO AVENUE 10,01-46,7.38,PIECE & SUNDRY GOODS,780,Jan-2022
BLK 49 SIMS PLACE,01-75,9,PIECE & SUNDRY GOODS,285,Nov-2018
BLK 49 SIMS PLACE,01-75,9,PIECE & SUNDRY GOODS,320,Feb-2019
BLK 49 SIMS PLACE,01-75,9,PIECE & SUNDRY GOODS,800,May-2022
BLK 49 SIMS PLACE,01-80,9,PIECE & SUNDRY GOODS,373,Apr-2019
BLK 49 SIMS PLACE,01-81,9,PIECE & SUNDRY GOODS,288.8,Aug-2019
BLK 49 SIMS PLACE,01-82,9,PIECE & SUNDRY GOODS,398.8,Aug-2019
BLK 49 SIMS PLACE,01-84,9,PIECE & SUNDRY GOODS,288,Dec-2018
BLK 49 SIMS PLACE,01-89,9,PIECE & SUNDRY GOODS,360,Apr-2018
BLK 49 SIMS PLACE,01-94,9,PRESERVED & DRIED GOODS,168,Dec-2018
BLK 49 SIMS PLACE,01-82,9,PIECE & SUNDRY GOODS,626,Jan-2022
BLK 4A EUNOS CRESCENT,01-44,8.4,PIECE & SUNDRY GOODS,368,Oct-2019
BLK 4A EUNOS CRESCENT,01-47,8.4,PIECE & SUNDRY GOODS,2188,Mar-2024
BLK 4A EUNOS CRESCENT,01-48,8.4,PIECE & SUNDRY GOODS,750,Mar-2018
BLK 4A EUNOS CRESCENT,01-48,8.4,PIECE & SUNDRY GOODS,910,Jun-2018
BLK 4A EUNOS CRESCENT,01-48,8.4,PIECE & SUNDRY GOODS,500,Nov-2019
BLK 4A EUNOS CRESCENT,01-49,8.4,REPAIR,430,Apr-2022
BLK 4A EUNOS CRESCENT,01-51,8.4,PIECE & SUNDRY GOODS,1000,May-2019
BLK 4A EUNOS CRESCENT,01-52,8.4,PIECE & SUNDRY GOODS,880,Mar-2019
BLK 4A EUNOS CRESCENT,01-54,8.4,PIECE & SUNDRY GOODS,1214,Feb-2023
BLK 4A EUNOS CRESCENT,01-49,8.4,REPAIR,650,Feb-2021
BLK 4A EUNOS CRESCENT,01-49,8.4,PIECE & SUNDRY GOODS,880,Nov-2022
BLK 4A EUNOS CRESCENT,01-54,8.4,PIECE & SUNDRY GOODS,1554,Aug-2023
BLK 4A EUNOS CRESCENT,01-60,8.4,PRESERVED & DRIED GOODS,1288,Jun-2023
BLK 4A JALAN BATU,02-02,9.85,PRESERVED & DRIED GOODS,108,Jul-2023
BLK 4A JALAN BATU,02-27,9.85,PIECE & SUNDRY GOODS,60,Sep-2019
BLK 4A JALAN BATU,02-27,9.85,PIECE & SUNDRY GOODS,399,Aug-2020
BLK 4A JALAN BATU,02-27,9.85,PIECE & SUNDRY GOODS,380,Oct-2023
BLK 4A JALAN BATU,02-27,9.85,PIECE & SUNDRY GOODS,150,Jul-2021
BLK 502 WEST COAST DRIVE,01-06,12,PIECE & SUNDRY GOODS,305,Jun-2018
BLK 502 WEST COAST DRIVE,01-08,10.9,PRESERVED & DRIED GOODS,666,Feb-2018
BLK 502 WEST COAST DRIVE,01-08,10.9,PIECE & SUNDRY GOODS,301,Sep-2018
BLK 502 WEST COAST DRIVE,01-08,10.9,PIECE & SUNDRY GOODS,215,Jan-2019
BLK 502 WEST COAST DRIVE,01-08,10.9,PIECE & SUNDRY GOODS,222,Jun-2019
BLK 502 WEST COAST DRIVE,01-08,10.9,PIECE & SUNDRY GOODS,200,Sep-2019
BLK 502 WEST COAST DRIVE,01-11,10.92,PIECE & SUNDRY GOODS,300,Aug-2019
BLK 502 WEST COAST DRIVE,01-11,10.92,PIECE & SUNDRY GOODS,201,Feb-2020
BLK 502 WEST COAST DRIVE,01-11,10.92,PRESERVED & DRIED GOODS,380,Apr-2024
BLK 502 WEST COAST DRIVE,01-11,10.92,PRESERVED & DRIED GOODS,261,Jun-2023
BLK 511 BEDOK NORTH STREET 3,01-44,7,PIECE & SUNDRY GOODS,168.8,Apr-2019
BLK 511 BEDOK NORTH STREET 3,01-46,7,PIECE & SUNDRY GOODS,415,Feb-2018
BLK 511 BEDOK NORTH STREET 3,01-46,7,PIECE & SUNDRY GOODS,309,Jun-2019
BLK 511 BEDOK NORTH STREET 3,01-46,7,PRESERVED & DRIED GOODS,328,Apr-2021
BLK 511 BEDOK NORTH STREET 3,01-47,7,PRESERVED & DRIED GOODS,328.99,Jan-2018
BLK 511 BEDOK NORTH STREET 3,01-47,7,PIECE & SUNDRY GOODS,180,Aug-2018
BLK 511 BEDOK NORTH STREET 3,01-47,7,REPAIR,280,Nov-2022
BLK 511 BEDOK NORTH STREET 3,01-47,7,PIECE & SUNDRY GOODS,21,Apr-2023
BLK 511 BEDOK NORTH STREET 3,01-48,7,PIECE & SUNDRY GOODS,900,Jan-2018
BLK 511 BEDOK NORTH STREET 3,01-48,7,PIECE & SUNDRY GOODS,505,Oct-2018
BLK 511 BEDOK NORTH STREET 3,01-50,7,PIECE & SUNDRY GOODS,501,Jan-2018
BLK 511 BEDOK NORTH STREET 3,01-50,7,PIECE & SUNDRY GOODS,300,Jul-2018
BLK 511 BEDOK NORTH STREET 3,01-50,7,PIECE & SUNDRY GOODS,120,Oct-2018
BLK 511 BEDOK NORTH STREET 3,01-46,7,PRESERVED & DRIED GOODS,480,Nov-2020
BLK 511 BEDOK NORTH STREET 3,01-46,7,PIECE & SUNDRY GOODS,510,Sep-2021
BLK 527 ANG MO KIO AVENUE 10,01-69,7.2,PRESERVED & DRIED GOODS,300,Apr-2019
BLK 527 ANG MO KIO AVENUE 10,01-69,7.2,PIECE & SUNDRY GOODS,600,Oct-2020
BLK 527 ANG MO KIO AVENUE 10,01-69,7.2,PIECE & SUNDRY GOODS,360,Mar-2022
BLK 527 ANG MO KIO AVENUE 10,01-69,7.2,PIECE & SUNDRY GOODS,404,Aug-2022
BLK 527 ANG MO KIO AVENUE 10,01-89,9.3,REPAIR,220,Oct-2021
BLK 527 ANG MO KIO AVENUE 10,01-96,9.3,PIECE & SUNDRY GOODS,1600,Mar-2018
BLK 527 ANG MO KIO AVENUE 10,01-96,9.3,PIECE & SUNDRY GOODS,1400,Feb-2019
BLK 527 ANG MO KIO AVENUE 10,01-96,9.3,PIECE & SUNDRY GOODS,1520,May-2024
BLK 527 ANG MO KIO AVENUE 10,01-99,9.3,PRESERVED & DRIED GOODS,600,Mar-2022
BLK 527 ANG MO KIO AVENUE 10,01-99,9.3,PRESERVED & DRIED GOODS,1110,May-2024
BLK 527 ANG MO KIO AVENUE 10,01-69,7.2,PIECE & SUNDRY GOODS,318,Mar-2021
BLK 527 ANG MO KIO AVENUE 10,01-69,7.2,PIECE & SUNDRY GOODS,228,Sep-2023
BLK 527 ANG MO KIO AVENUE 10,01-72,7.2,PIECE & SUNDRY GOODS,168,Jun-2023
BLK 527 ANG MO KIO AVENUE 10,01-94,9.3,PIECE & SUNDRY GOODS,480,Feb-2022
BLK 527 ANG MO KIO AVENUE 10,01-99,9.3,PIECE & SUNDRY GOODS,1007,May-2021
BLK 531A UPPER CROSS STREET,01-38,7.98,PIECE & SUNDRY GOODS,148,May-2024
BLK 531A UPPER CROSS STREET,01-01,7.98,PRESERVED & DRIED GOODS,120,Jul-2022
BLK 531A UPPER CROSS STREET,01-03,7.98,PRESERVED & DRIED GOODS,100,Sep-2023
BLK 531A UPPER CROSS STREET,01-04,7.98,PRESERVED & DRIED GOODS,8,Mar-2024
BLK 531A UPPER CROSS STREET,01-05,7.98,PIECE & SUNDRY GOODS,168,Apr-2024
BLK 531A UPPER CROSS STREET,01-07,7.98,PIECE & SUNDRY GOODS,138,Apr-2024
BLK 531A UPPER CROSS STREET,01-01,7.98,PRESERVED & DRIED GOODS,70,Feb-2024
BLK 538 BEDOK NORTH STREET 3,01-37,9.6,PIECE & SUNDRY GOODS,1137,Mar-2018
BLK 538 BEDOK NORTH STREET 3,01-39,9.6,PRESERVED & DRIED GOODS,301,May-2024
BLK 538 BEDOK NORTH STREET 3,01-40,9.6,PRESERVED & DRIED GOODS,320,May-2024
BLK 538 BEDOK NORTH STREET 3,01-58,9.6,PIECE & SUNDRY GOODS,258,May-2022
BLK 538 BEDOK NORTH STREET 3,01-83,9.6,PRESERVED & DRIED GOODS,300,Apr-2019
BLK 538 BEDOK NORTH STREET 3,01-14,9.6,PIECE & SUNDRY GOODS,350,Apr-2023
BLK 538 BEDOK NORTH STREET 3,01-15,9.6,PIECE & SUNDRY GOODS,1000,Oct-2020
BLK 538 BEDOK NORTH STREET 3,01-15,9.6,PIECE & SUNDRY GOODS,650,Mar-2021
BLK 538 BEDOK NORTH STREET 3,01-20,9.6,PRESERVED & DRIED GOODS,220,May-2019
BLK 538 BEDOK NORTH STREET 3,01-20,9.6,PRESERVED & DRIED GOODS,350,Jul-2024
BLK 538 BEDOK NORTH STREET 3,01-58,9.6,PIECE & SUNDRY GOODS,580,May-2021
BLK 538 BEDOK NORTH STREET 3,01-13,9.6,PIECE & SUNDRY GOODS,650,Sep-2023
BLK 6 JALAN BUKIT MERAH,01-55,5.79,PRESERVED & DRIED GOODS,150,Jun-2022
BLK 6 JALAN BUKIT MERAH,01-56,5.79,PRESERVED & DRIED GOODS,588,Nov-2024
BLK 6 JALAN BUKIT MERAH,01-57,5.79,PRESERVED & DRIED GOODS,518,Oct-2024
BLK 6 JALAN BUKIT MERAH,01-97,5.79,PIECE & SUNDRY GOODS,428,Dec-2023
BLK 6 JALAN BUKIT MERAH,01-55,5.79,PRESERVED & DRIED GOODS,280,Sep-2020
BLK 6 JALAN BUKIT MERAH,01-55,5.79,PIECE & SUNDRY GOODS,308,Apr-2021
BLK 6 TANJONG PAGAR PLAZA,01-06,7.14,PIECE & SUNDRY GOODS,1503,Mar-2024
BLK 6 TANJONG PAGAR PLAZA,01-06,7.14,PIECE & SUNDRY GOODS,1088.5,Sep-2024
BLK 6 TANJONG PAGAR PLAZA,01-05,7.14,PIECE & SUNDRY GOODS,920,Aug-2023
BLK 628 ANG MO KIO AVENUE 4,01-30,7.41,PRESERVED & DRIED GOODS,508,Jun-2018
BLK 628 ANG MO KIO AVENUE 4,01-31,7.41,PRESERVED & DRIED GOODS,93,Sep-2019
BLK 628 ANG MO KIO AVENUE 4,01-31,7.41,PRESERVED & DRIED GOODS,388,Aug-2024
BLK 628 ANG MO KIO AVENUE 4,01-34,7.41,PRESERVED & DRIED GOODS,800,Jul-2018
BLK 628 ANG MO KIO AVENUE 4,01-34,7.41,PRESERVED & DRIED GOODS,89,May-2019
BLK 628 ANG MO KIO AVENUE 4,01-42,7.41,PIECE & SUNDRY GOODS,1400,Dec-2018
BLK 628 ANG MO KIO AVENUE 4,01-21,7.41,PIECE & SUNDRY GOODS,15,Apr-2023
BLK 628 ANG MO KIO AVENUE 4,01-23,7.41,PIECE & SUNDRY GOODS,888,Oct-2023
BLK 628 ANG MO KIO AVENUE 4,01-24,7.41,PIECE & SUNDRY GOODS,800,Feb-2018
BLK 628 ANG MO KIO AVENUE 4,01-24,7.41,PIECE & SUNDRY GOODS,588,Nov-2021
BLK 628 ANG MO KIO AVENUE 4,01-24,7.41,PIECE & SUNDRY GOODS,1088,May-2022
BLK 628 ANG MO KIO AVENUE 4,01-24,7.41,PIECE & SUNDRY GOODS,800,Nov-2022
BLK 628 ANG MO KIO AVENUE 4,01-24,7.41,PIECE & SUNDRY GOODS,338,Nov-2024
BLK 628 ANG MO KIO AVENUE 4,01-02,7.41,PIECE & SUNDRY GOODS,599,Nov-2022
BLK 628 ANG MO KIO AVENUE 4,01-02,7.41,PIECE & SUNDRY GOODS,646,Mar-2023
BLK 628 ANG MO KIO AVENUE 4,01-02,7.41,PIECE & SUNDRY GOODS,788,Nov-2024
BLK 628 ANG MO KIO AVENUE 4,01-03,7.41,PIECE & SUNDRY GOODS,599,May-2022
BLK 628 ANG MO KIO AVENUE 4,01-03,7.41,PIECE & SUNDRY GOODS,400,Mar-2023
BLK 628 ANG MO KIO AVENUE 4,01-07,7.41,PIECE & SUNDRY GOODS,400,Apr-2023
BLK 628 ANG MO KIO AVENUE 4,01-31,7.41,PRESERVED & DRIED GOODS,188,Mar-2020
BLK 628 ANG MO KIO AVENUE 4,01-23,7.41,PIECE & SUNDRY GOODS,609,Oct-2022
BLK 628 ANG MO KIO AVENUE 4,01-01,7.41,PIECE & SUNDRY GOODS,768,Nov-2022
BLK 628 ANG MO KIO AVENUE 4,01-07,7.41,PIECE & SUNDRY GOODS,700,Jun-2022
BLK 628 ANG MO KIO AVENUE 4,01-08,7.41,PIECE & SUNDRY GOODS,889,Jun-2023
BLK 630 BEDOK RESERVOIR ROAD,01-40,8.05,PIECE & SUNDRY GOODS,723,Mar-2022
BLK 630 BEDOK RESERVOIR ROAD,01-42,8.05,PRESERVED & DRIED GOODS,200,May-2024
BLK 665 BUFFALO ROAD,02-37,9.14,PIECE & SUNDRY GOODS,4708,Jan-2024
BLK 665 BUFFALO ROAD,02-41,9.08,PIECE & SUNDRY GOODS,3300,Oct-2022
BLK 665 BUFFALO ROAD,02-64,7.55,PIECE & SUNDRY GOODS,1111,Aug-2020
BLK 665 BUFFALO ROAD,02-64,7.55,PIECE & SUNDRY GOODS,1715,Mar-2021
BLK 665 BUFFALO ROAD,02-64,7.55,PIECE & SUNDRY GOODS,900,Aug-2021
BLK 665 BUFFALO ROAD,02-14,9.25,PIECE & SUNDRY GOODS,540,Jan-2018
BLK 665 BUFFALO ROAD,02-14,9.25,PIECE & SUNDRY GOODS,850,Apr-2019
BLK 665 BUFFALO ROAD,02-04,9.25,PIECE & SUNDRY GOODS,600,Jun-2021
BLK 665 BUFFALO ROAD,02-06,9.25,PIECE & SUNDRY GOODS,911,Feb-2022
BLK 665 BUFFALO ROAD,02-07,9.25,PIECE & SUNDRY GOODS,1300,Dec-2019
BLK 7 EMPRESS ROAD,01-57,9.15,PIECE & SUNDRY GOODS,617,Jul-2024
BLK 7 EMPRESS ROAD,01-61,9.15,PIECE & SUNDRY GOODS,701,May-2018
BLK 7 EMPRESS ROAD,01-62,9.15,PIECE & SUNDRY GOODS,1118,Aug-2024
BLK 7 EMPRESS ROAD,01-63,9.15,PIECE & SUNDRY GOODS,1202,Jul-2020
BLK 724 ANG MO KIO AVENUE 6,01-50,7.97,PIECE & SUNDRY GOODS,800,Jul-2018
BLK 724 ANG MO KIO AVENUE 6,01-50,7.97,PRESERVED & DRIED GOODS,891,Nov-2018
BLK 724 ANG MO KIO AVENUE 6,01-67,7.97,PIECE & SUNDRY GOODS,401,Feb-2018
BLK 724 ANG MO KIO AVENUE 6,01-67,7.97,PIECE & SUNDRY GOODS,888,May-2021
BLK 724 ANG MO KIO AVENUE 6,01-67,7.97,PIECE & SUNDRY GOODS,1019,Aug-2022
BLK 724 ANG MO KIO AVENUE 6,01-68,7.97,PIECE & SUNDRY GOODS,900,Nov-2018
BLK 724 ANG MO KIO AVENUE 6,01-68,7.97,PIECE & SUNDRY GOODS,508,Jul-2019
BLK 724 ANG MO KIO AVENUE 6,01-68,7.97,PIECE & SUNDRY GOODS,720,Dec-2019
BLK 724 ANG MO KIO AVENUE 6,01-71,7.97,PIECE & SUNDRY GOODS,738,Feb-2020
BLK 724 ANG MO KIO AVENUE 6,01-71,7.97,PIECE & SUNDRY GOODS,1029,Jan-2023
BLK 724 ANG MO KIO AVENUE 6,01-71,7.97,PIECE & SUNDRY GOODS,928,Nov-2024
BLK 724 ANG MO KIO AVENUE 6,01-74,7.97,PIECE & SUNDRY GOODS,800,Sep-2019
BLK 724 ANG MO KIO AVENUE 6,01-59,7.97,PIECE & SUNDRY GOODS,1389,Sep-2022
BLK 724 ANG MO KIO AVENUE 6,01-74,7.97,PIECE & SUNDRY GOODS,728,Mar-2020
BLK 726 CLEMENTI WEST STREET 2,01-85,8.82,PIECE & SUNDRY GOODS,2430,Mar-2022
BLK 726 CLEMENTI WEST STREET 2,01-87,8.82,PIECE & SUNDRY GOODS,1380,Sep-2020
BLK 726 CLEMENTI WEST STREET 2,01-88,8.82,PIECE & SUNDRY GOODS,1310,Jun-2018
BLK 74 TOA PAYOH LORONG 4,02-23,7.2,PRESERVED & DRIED GOODS,350,Mar-2021
BLK 74 TOA PAYOH LORONG 4,02-23,7.2,PRESERVED & DRIED GOODS,401,Apr-2023
BLK 74 TOA PAYOH LORONG 4,02-02,7.79,PIECE & SUNDRY GOODS,168,Oct-2020
BLK 74 TOA PAYOH LORONG 4,02-03,7.2,PIECE & SUNDRY GOODS,380,Feb-2019
BLK 74 TOA PAYOH LORONG 4,02-03,7.2,PIECE & SUNDRY GOODS,138,Dec-2020
BLK 74 TOA PAYOH LORONG 4,02-03,7.2,PIECE & SUNDRY GOODS,336,Aug-2021
BLK 74 TOA PAYOH LORONG 4,02-03,7.2,PIECE & SUNDRY GOODS,339.9,Mar-2022
BLK 74 TOA PAYOH LORONG 4,02-03,7.2,PIECE & SUNDRY GOODS,238,Nov-2024
BLK 74 TOA PAYOH LORONG 4,02-04,7.21,PIECE & SUNDRY GOODS,350,Mar-2018
BLK 74 TOA PAYOH LORONG 4,02-04,7.21,REPAIR,100,Nov-2018
BLK 74 TOA PAYOH LORONG 4,02-04,7.21,PIECE & SUNDRY GOODS,103,Apr-2023
BLK 74 TOA PAYOH LORONG 4,02-04,7.21,PIECE & SUNDRY GOODS,250,Jul-2022
BLK 74 TOA PAYOH LORONG 4,02-05,7.21,PIECE & SUNDRY GOODS,208,Jun-2019
BLK 74 TOA PAYOH LORONG 4,02-05,7.21,REPAIR,51,Sep-2020
BLK 74 TOA PAYOH LORONG 4,02-05,7.21,REPAIR,10,Mar-2021
BLK 74 TOA PAYOH LORONG 4,02-06,7.21,PIECE & SUNDRY GOODS,108,Feb-2024
BLK 74 TOA PAYOH LORONG 4,02-26,7.21,PIECE & SUNDRY GOODS,360,Oct-2021
BLK 74 TOA PAYOH LORONG 4,02-26,7.21,PIECE & SUNDRY GOODS,153,Nov-2022
BLK 74 TOA PAYOH LORONG 4,02-27,7.21,PIECE & SUNDRY GOODS,80,Feb-2020
BLK 74 TOA PAYOH LORONG 4,02-28,7.21,PIECE & SUNDRY GOODS,228.8,Jul-2024
BLK 79 REDHILL LANE,01-56,7.5,PIECE & SUNDRY GOODS,1500,Apr-2022
BLK 79 REDHILL LANE,01-56,7.5,PIECE & SUNDRY GOODS,1388,Aug-2022
BLK 79 REDHILL LANE,01-56,7.5,PIECE & SUNDRY GOODS,800,Apr-2023
BLK 79 REDHILL LANE,01-57,7.5,PIECE & SUNDRY GOODS,1688,Jul-2023
BLK 79 REDHILL LANE,01-62,7.5,PIECE & SUNDRY GOODS,808,Apr-2019
BLK 79 REDHILL LANE,01-63,7.5,PIECE & SUNDRY GOODS,600,Apr-2023
BLK 79 REDHILL LANE,01-64,7.5,PIECE & SUNDRY GOODS,889.8,Mar-2018
BLK 79 REDHILL LANE,01-92,7.5,PRESERVED & DRIED GOODS,650,Aug-2018
BLK 79 REDHILL LANE,01-92,7.5,PRESERVED & DRIED GOODS,777,Nov-2018
BLK 79 REDHILL LANE,01-92,7.5,PRESERVED & DRIED GOODS,200,Jun-2019
BLK 79 REDHILL LANE,01-02,7.5,PIECE & SUNDRY GOODS,501,Jan-2020
BLK 79 REDHILL LANE,01-57,7.5,PIECE & SUNDRY GOODS,889,Feb-2022
BLK 79 REDHILL LANE,01-65,7.57,PIECE & SUNDRY GOODS,1333,Dec-2021
BLK 79 REDHILL LANE,01-65,7.57,PIECE & SUNDRY GOODS,2339,Aug-2023
BLK 79 REDHILL LANE,01-02,7.5,PIECE & SUNDRY GOODS,792,Oct-2020
BLK 80 CIRCUIT ROAD,01-31,11,PIECE & SUNDRY GOODS,480,Mar-2023
BLK 80 CIRCUIT ROAD,01-32,11,PIECE & SUNDRY GOODS,530,Mar-2024
BLK 80 CIRCUIT ROAD,01-33,11,PIECE & SUNDRY GOODS,530,Mar-2024
BLK 80 CIRCUIT ROAD,01-35,11,PRESERVED & DRIED GOODS,29,Jan-2019
BLK 80 CIRCUIT ROAD,01-35,11,PRESERVED & DRIED GOODS,201,May-2019
BLK 80 CIRCUIT ROAD,01-36,11,PRESERVED & DRIED GOODS,30,Jan-2019
BLK 80 CIRCUIT ROAD,01-36,11,PRESERVED & DRIED GOODS,43,Sep-2019
BLK 80 CIRCUIT ROAD,01-41,11,PIECE & SUNDRY GOODS,420,Jul-2019
BLK 80 CIRCUIT ROAD,01-41,11,PIECE & SUNDRY GOODS,165,Nov-2019
BLK 80 CIRCUIT ROAD,01-41,11,PIECE & SUNDRY GOODS,389,Jan-2021
BLK 82 TELOK BLANGAH DRIVE,01-52,9,PRESERVED & DRIED GOODS,99,Jan-2020
